learning_rate,rank,seed,prompt,step,blue_hair,solo_1_girl,twintails,training_data_resemblance,artifact_score,base_condition,base_aesthetic,coat,scarf,watercolor_style,pastel,brush_strokes,space_background,mecha,piloting,color_bleed,non_cel,dutch_angle,purple_hair,purple_eyes,red_shirt,abstract,negative_violation
1e-4,16,42,Winter Coat,500,NA,1,1,0,1,-1,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Winter Coat,2000,1,1,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Winter Coat,3500,1,1,1,1,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Winter Coat,5000,NA,NA,NA,1,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Watercolor,500,1,1,1,0,0,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Watercolor,2000,1,1,1,0,0,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Watercolor,3500,1,1,1,0,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Watercolor,5000,1,1,1,0,0,0,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,42,Purple hair,500,NA,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,42,Purple hair,2000,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,42,Purple hair,3500,NA,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,42,Purple hair,5000,NA,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,42,Abstract,500,1,1,1,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,42,Abstract,2000,1,1,1,1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
1e-4,16,42,Abstract,3500,1,1,1,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,42,Abstract,5000,1,1,1,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,42,Mecha,500,1,1,NA,0,1,0,0,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
1e-4,16,42,Mecha,2000,1,1,NA,1,0,-1,-1,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,0
1e-4,16,42,Mecha,3500,1,1,NA,0,1,0,-1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0
1e-4,16,42,Mecha,5000,1,1,NA,0,0,1,-1,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,0
1e-4,16,42,Dutch Angle,500,1,1,NA,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,42,Dutch Angle,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,42,Dutch Angle,3500,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,42,Dutch Angle,5000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,61728416,Baseline,500,1,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Baseline,2000,1,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Baseline,3500,1,1,1,1,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Baseline,5000,1,1,1,1,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Winter Coat,500,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Winter Coat,2000,1,1,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Winter Coat,3500,1,1,1,1,0,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Winter Coat,5000,1,1,1,1,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Watercolor,500,1,1,1,0,0,1,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Watercolor,2000,1,1,1,0,1,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Watercolor,3500,1,1,1,0,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Watercolor,5000,1,1,1,1,1,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Purple hair,500,NA,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,61728416,Purple hair,2000,NA,1,1,1,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,61728416,Purple hair,3500,NA,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,61728416,Purple hair,5000,NA,1,1,2,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,61728416,Abstract,500,1,1,1,0,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1e-4,16,61728416,Abstract,2000,1,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,61728416,Abstract,3500,1,1,1,1,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,61728416,Abstract,5000,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1e-4,16,61728416,Mecha,500,1,1,NA,0,0,0,-1,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Mecha,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Mecha,3500,1,1,NA,1,0,-1,-1,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Mecha,5000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,1,0,1,0,1,NA,NA,NA,NA,NA,0
1e-4,16,61728416,Dutch Angle,500,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,61728416,Dutch Angle,2000,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,61728416,Dutch Angle,3500,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,61728416,Dutch Angle,5000,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,123456789,Baseline,500,1,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Baseline,2000,1,1,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Baseline,3500,1,1,1,2,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Baseline,5000,1,1,1,2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Winter Coat,500,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Winter Coat,2000,1,1,1,0,0,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Winter Coat,3500,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Winter Coat,5000,1,1,1,1,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Watercolor,500,1,1,1,0,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Watercolor,2000,1,1,1,0,1,-1,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Watercolor,3500,1,1,1,0,1,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Watercolor,5000,1,1,1,1,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Purple hair,500,NA,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,123456789,Purple hair,2000,NA,1,1,1,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,123456789,Purple hair,3500,NA,1,1,0,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,123456789,Purple hair,5000,NA,1,1,2,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,123456789,Abstract,500,1,1,1,0,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,123456789,Abstract,2000,1,1,1,1,2,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,123456789,Abstract,3500,1,1,1,0,1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,123456789,Abstract,5000,1,1,1,2,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,123456789,Mecha,500,1,1,NA,0,1,1,-1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Mecha,2000,1,1,NA,0,1,-1,-1,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Mecha,3500,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,1,0,1,0,1,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Mecha,5000,1,1,NA,0,2,-1,-1,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA,NA,NA,NA,0
2e-4,16,123456789,Dutch Angle,500,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,123456789,Dutch Angle,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
2e-4,16,123456789,Dutch Angle,3500,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,123456789,Dutch Angle,5000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
1e-4,16,123456789,Baseline,500,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Baseline,2000,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Baseline,3500,1,1,1,1,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Baseline,5000,1,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Winter Coat,500,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Winter Coat,2000,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Winter Coat,3500,1,1,1,1,1,-1,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Winter Coat,5000,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Watercolor,500,1,1,1,0,0,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Watercolor,2000,1,1,1,0,0,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Watercolor,3500,1,1,1,1,0,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Watercolor,5000,1,1,1,0,0,0,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Purple hair,500,NA,1,1,0,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,123456789,Purple hair,2000,NA,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,123456789,Purple hair,3500,NA,1,1,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,0
1e-4,16,123456789,Purple hair,5000,NA,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
1e-4,16,123456789,Abstract,500,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1e-4,16,123456789,Abstract,2000,1,1,1,0,2,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,123456789,Abstract,3500,1,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,123456789,Abstract,5000,1,1,1,0,1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1e-4,16,123456789,Mecha,500,1,1,NA,0,2,-1,-1,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Mecha,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,1,0,1,0,1,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Mecha,3500,1,1,NA,0,0,-1,0,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Mecha,5000,1,1,NA,0,0,0,-1,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,0
1e-4,16,123456789,Dutch Angle,500,1,1,NA,0,1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,123456789,Dutch Angle,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
1e-4,16,123456789,Dutch Angle,3500,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
1e-4,16,123456789,Dutch Angle,5000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
2e-4,16,61728416,Baseline,500,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Baseline,2000,1,1,1,1,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Baseline,3500,1,1,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Baseline,5000,1,1,1,3,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Winter Coat,500,1,1,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Winter Coat,2000,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Winter Coat,3500,1,1,1,1,2,-1,-1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Winter Coat,5000,1,1,1,2,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Watercolor,500,1,1,1,0,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Watercolor,2000,1,1,1,0,1,-1,-1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Watercolor,3500,1,1,1,0,0,0,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Watercolor,5000,1,1,1,0,0,0,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Purple hair,500,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,61728416,Purple hair,2000,NA,1,1,1,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,61728416,Purple hair,3500,NA,1,1,0,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,61728416,Purple hair,5000,NA,1,1,2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,61728416,Abstract,500,1,1,1,0,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,61728416,Abstract,2000,1,1,1,1,2,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,61728416,Abstract,3500,1,1,1,0,2,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,61728416,Abstract,5000,1,1,1,2,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,61728416,Mecha,500,1,1,NA,0,0,1,-1,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Mecha,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Mecha,3500,1,1,NA,0,0,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Mecha,5000,1,1,NA,1,0,-1,-1,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,0
2e-4,16,61728416,Dutch Angle,500,1,1,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,61728416,Dutch Angle,2000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,61728416,Dutch Angle,3500,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,61728416,Dutch Angle,5000,1,1,NA,1,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
2e-4,16,42,Baseline,500,1,1,1,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2e-4,16,42,Baseline,2000,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Baseline,3500,1,1,1,0,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Baseline,5000,1,1,1,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Winter Coat,500,1,1,1,0,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Winter Coat,2000,1,1,1,2,1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Winter Coat,3500,1,1,1,0,2,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Winter Coat,5000,1,1,1,2,0,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Watercolor,500,1,1,1,0,0,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Watercolor,2000,1,1,1,0,1,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Watercolor,3500,1,1,1,0,2,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Watercolor,5000,1,1,1,2,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2e-4,16,42,Purple hair,500,NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,42,Purple hair,2000,NA,1,1,0,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,42,Purple hair,3500,NA,1,1,0,2,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,42,Purple hair,5000,NA,1,1,2,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0
2e-4,16,42,Abstract,500,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
2e-4,16,42,Abstract,2000,1,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,42,Abstract,3500,1,1,1,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,42,Abstract,5000,1,1,1,3,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2e-4,16,42,Mecha,500,1,1,NA,0,0,-1,0,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,0
2e-4,16,42,Mecha,2000,1,1,NA,0,1,-1,-1,NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,0
2e-4,16,42,Mecha,3500,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,NA,NA,NA,0
2e-4,16,42,Mecha,5000,1,1,NA,2,1,-1,-1,NA,NA,NA,NA,NA,1,1,1,0,1,NA,NA,NA,NA,NA,0
2e-4,16,42,Dutch Angle,500,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,42,Dutch Angle,2000,1,1,NA,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,42,Dutch Angle,3500,1,1,NA,0,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
2e-4,16,42,Dutch Angle,5000,1,1,NA,0,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
