Grid,Step,PromptIndex,Prompt,Training-Data Resemblance,Artifact Score,requested condition (base model compare),aesthetic (base model compare),baseline - bluehair,baseline - solo and 1girl,baseline - twintails,Winter Coat - blue hair,winter coat - solo 1 girl,winter coat - twintails,Winter Coat - coat,Winter Coat - scarf,watercolor - blue hair,watercolor - solo and 1 girl,watercolor - twintails,watercolor - watercolor appearance,watercolor - pastel color existence,watercolor - brush strokes existence,mecha - blue hair,mecha - solo and 1 girl,mecha - space background,mecha - mecha present,"mecha - character inside, piloting",mecha - Light Reflection (Color Bleed): Does the blue space glow onto the ship and her hair,mecha - not cel coloring,dutch - bluehair,dutch - solo 1 girl,dutch - camera tilted,Purple hair - purple hair,Purple hair - solo 1 girl,Purple hair - twintails,Purple hair - purple eyes,Purple hair - red shirt,Abstract - bluehair,Abstract - solo 1 girl,Abstract - twintails,Abstract - either character or background abstract,ignore negative,Notes
42 32,2000,5,Abstract,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
42 32,3500,5,Abstract,0,0,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
42 32,5000,5,Abstract,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,
42 32,500,6,Mecha,,,-1,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,,,,,,
42 32,2000,6,Mecha,0,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 32,3500,6,Mecha,,,-1,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,,,,,,,,,,,,,,
42 32,5000,6,Mecha,0,0,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 32,500,7,Dutch angle,0,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 32,2000,7,Dutch angle,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 32,3500,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 32,5000,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 16,500,1,Baseline,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,2000,1,Baseline,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,3500,1,Baseline,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,5000,1,Baseline,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,500,2,Winter Coat,,1,,,,,,,1,1,1,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,2000,2,Winter Coat,1,1,0,0,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 16,3500,2,Winter Coat,1,1,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,5000,2,Winter Coat,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 16,500,3,Watercolor,,,0,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
42 16,2000,3,Watercolor,,,0,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
42 16,3500,3,Watercolor,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 16,5000,3,Watercolor,,,0,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
42 16,500,4,Purple hair,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
42 16,2000,4,Purple hair,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
42 16,3500,4,Purple hair,0,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
42 16,5000,4,Purple hair,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
42 16,500,5,Abstract,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
42 16,2000,5,Abstract,1,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,
42 16,3500,5,Abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,
42 16,5000,5,Abstract,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
42 16,500,6,Mecha,,1,0,0,,,,,,,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,,,,,,
42 16,2000,6,Mecha,1,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 16,3500,6,Mecha,0,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 16,5000,6,Mecha,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,,,,,,,,,,,,,,
42 16,500,7,Dutch angle,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
42 16,2000,7,Dutch angle,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
42 16,3500,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
42 16,5000,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,500,1,Baseline,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,2000,1,Baseline,,,0,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,3500,1,Baseline,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,5000,1,Baseline,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,500,2,Winter Coat,0,1,0,-1,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,2000,2,Winter Coat,,,0,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,3500,2,Winter Coat,1,,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,5000,2,Winter Coat,1,1,0,,,,,1,1,1,1,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16,500,3,Watercolor,,,1,0,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16,2000,3,Watercolor,0,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,3500,3,Watercolor,,,0,0,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16,5000,3,Watercolor,1,1,0,0,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16,500,4,Purple hair,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
61728416 16,2000,4,Purple hair,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
61728416 16,3500,4,Purple hair,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
61728416 16,5000,4,Purple hair,2,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
61728416 16,500,5,Abstract,0,2,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,0,
61728416 16,2000,5,Abstract,0,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
61728416 16,3500,5,Abstract,1,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
61728416 16,5000,5,Abstract,0,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,0,
61728416 16,500,6,Mecha,,,0,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,,,,,,
61728416 16,2000,6,Mecha,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,3500,6,Mecha,1,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,,,,,,
61728416 16,5000,6,Mecha,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,500,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,2000,7,Dutch angle,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16,3500,7,Dutch angle,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
61728416 16,5000,7,Dutch angle,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,500,1,Baseline,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,2000,1,Baseline,0,2,0,0,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,3500,1,Baseline,2,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,5000,1,Baseline,2,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,500,2,Winter Coat,,1,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,2000,2,Winter Coat,,,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,3500,2,Winter Coat,,1,0,,-2,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,5000,2,Winter Coat,1,1,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,500,3,Watercolor,,,0,0,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,2000,3,Watercolor,,1,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,3500,3,Watercolor,,1,0,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
123456789 16e2,5000,3,Watercolor,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,500,4,Purple hair,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
123456789 16e2,2000,4,Purple hair,1,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
123456789 16e2,3500,4,Purple hair,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
123456789 16e2,5000,4,Purple hair,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
123456789 16e2,500,5,Abstract,0,0,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16e2,2000,5,Abstract,1,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16e2,3500,5,Abstract,0,1,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16e2,5000,5,Abstract,2,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16e2,500,6,Mecha,0,1,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,2000,6,Mecha,,1,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,,,,,,
123456789 16e2,3500,6,Mecha,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,5000,6,Mecha,0,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,500,7,Dutch angle,,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
123456789 16e2,2000,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16e2,3500,7,Dutch angle,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
123456789 16e2,5000,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,500,1,Baseline,,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,2000,1,Baseline,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,3500,1,Baseline,1,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,5000,1,Baseline,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,500,2,Winter Coat,,1,0,,,,,1,1,1,1,1,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,2000,2,Winter Coat,,1,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,3500,2,Winter Coat,1,1,-1,-1,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,5000,2,Winter Coat,,1,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789 16,500,3,Watercolor,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,2000,3,Watercolor,,,0,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
123456789 16,3500,3,Watercolor,1,,0,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
123456789 16,5000,3,Watercolor,,,0,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
123456789 16,500,4,Purple hair,0,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
123456789 16,2000,4,Purple hair,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
123456789 16,3500,4,Purple hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,
123456789 16,5000,4,Purple hair,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
123456789 16,500,5,Abstract,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,0,
123456789 16,2000,5,Abstract,0,2,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16,3500,5,Abstract,0,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16,5000,5,Abstract,0,1,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
123456789 16,500,6,Mecha,0,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,2000,6,Mecha,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,,,,,,,,,,,,,,
123456789 16,3500,6,Mecha,,,,0,,,,,,,,,,,,,,,1,1,1,0,0,1,1,,,,,,,,,,,,,,
123456789 16,5000,6,Mecha,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,500,7,Dutch angle,0,1,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,2000,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,3500,7,Dutch angle,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
123456789 16,5000,7,Dutch angle,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,
61728416 16e2,500,1,Baseline,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,2000,1,Baseline,1,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,3500,1,Baseline,0,2,0,0,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16e2,5000,1,Baseline,3,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,500,2,Winter Coat,,,0,0,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,2000,2,Winter Coat,,1,0,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,3500,2,Winter Coat,1,2,-1,,,,,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,5000,2,Winter Coat,2,1,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,500,3,Watercolor,,,0,0,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,2000,3,Watercolor,,1,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,3500,3,Watercolor,,,0,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,5000,3,Watercolor,,,0,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
61728416 16e2,500,4,Purple hair,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
61728416 16e2,2000,4,Purple hair,1,2,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
61728416 16e2,3500,4,Purple hair,0,2,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
61728416 16e2,5000,4,Purple hair,2,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,0,
61728416 16e2,500,5,Abstract,0,0,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
61728416 16e2,2000,5,Abstract,1,2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
61728416 16e2,3500,5,Abstract,0,2,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
61728416 16e2,5000,5,Abstract,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,0,
61728416 16e2,500,6,Mecha,,,1,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,,,,,,,,,,,,,,
61728416 16e2,2000,6,Mecha,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,,,,,,,,,,,,,,
61728416 16e2,3500,6,Mecha,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16e2,5000,6,Mecha,1,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,
61728416 16e2,500,7,Dutch angle,,,1,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
