learning rate,rank,seed,prompt type,steps,Aesthetic Score (0-2),Anatomy Score (2-0),Text Score (3-0),Prompt Adherence (1-0),overfit (0->3)
1.00E-04,32,42,Winter Coat,2500,2,2,2,1,3
1.00E-04,32,42,Winter Coat,3000,2,2,2,1,3
1.00E-04,32,42,Winter Coat,3500,2,1,3,1,3
1.00E-04,32,42,Winter Coat,4000,2,2,1,1,3
1.00E-04,32,42,Winter Coat,4500,2,2,3,1,3
1.00E-04,32,42,Winter Coat,5000,2,2,3,1,3
1.00E-04,32,42,Watercolor,500,2,2,0,1,3
1.00E-04,32,42,Watercolor,1000,1,1,0,1,2
1.00E-04,32,42,Watercolor,1500,2,2,0,1,3
1.00E-04,32,42,Watercolor,2000,1,1,0,1,3
1.00E-04,32,42,Watercolor,2500,2,1,2,0,3
1.00E-04,32,42,Watercolor,3000,2,2,2,1,3
1.00E-04,32,42,Watercolor,3500,2,2,3,1,3
1.00E-04,32,42,Watercolor,4000,2,1,0,1,3
1.00E-04,32,42,Watercolor,4500,2,2,3,1,3
1.00E-04,32,42,Watercolor,5000,2,1,2,1,3
1.00E-04,32,42,Purple Hair,500,2,2,0,1,3
1.00E-04,32,42,Purple Hair,1000,2,2,0,1,3
1.00E-04,32,42,Purple Hair,1500,2,2,0,1,2
1.00E-04,32,42,Purple Hair,2000,2,2,0,1,3
1.00E-04,32,42,Purple Hair,2500,2,2,3,1,3
1.00E-04,32,42,Purple Hair,3000,2,2,3,1,3
1.00E-04,32,42,Purple Hair,3500,2,1,3,0,3
1.00E-04,32,42,Purple Hair,4000,2,2,3,1,3
1.00E-04,32,42,Purple Hair,4500,2,2,3,1,3
1.00E-04,32,42,Purple Hair,5000,2,2,3,0,3
1.00E-04,32,42,Abstract,500,1,2,0,0,3
1.00E-04,32,42,Abstract,1000,2,2,0,0,3
1.00E-04,32,42,Abstract,1500,2,2,1,0,3
1.00E-04,32,42,Abstract,2000,2,1,3,0,3
1.00E-04,32,42,Abstract,2500,2,2,3,0,3
1.00E-04,32,42,Abstract,3000,2,2,3,1,2
1.00E-04,32,42,Abstract,3500,2,2,3,0,3
1.00E-04,32,42,Abstract,4000,2,2,1,1,3
1.00E-04,32,42,Abstract,4500,2,2,3,0,3
1.00E-04,32,42,Abstract,5000,2,1,3,0,3
1.00E-04,32,42,Mecha,500,0,1,NA,0,3
1.00E-04,32,42,Mecha,1000,2,1,NA,0,3
1.00E-04,32,42,Mecha,1500,2,2,NA,0,3
1.00E-04,32,42,Mecha,2000,2,2,NA,1,3
1.00E-04,32,42,Mecha,2500,2,1,NA,0,3
1.00E-04,32,42,Mecha,3000,2,1,NA,0,3
1.00E-04,32,42,Mecha,3500,2,2,NA,1,3
1.00E-04,32,42,Mecha,4000,2,1,NA,0,3
1.00E-04,32,42,Mecha,4500,2,1,NA,0,3
1.00E-04,32,42,Mecha,5000,2,2,NA,0,3
1.00E-04,32,42,Dutch Angle Env,500,1,1,NA,0,3
1.00E-04,32,42,Dutch Angle Env,1000,2,1,NA,1,3
1.00E-04,32,42,Dutch Angle Env,1500,2,1,NA,0,3
1.00E-04,32,42,Dutch Angle Env,2000,2,2,NA,1,2
1.00E-04,32,42,Dutch Angle Env,2500,2,2,NA,0,3
1.00E-04,32,42,Dutch Angle Env,3000,2,2,NA,1,3
1.00E-04,32,42,Dutch Angle Env,3500,2,2,NA,1,3
1.00E-04,32,42,Dutch Angle Env,4000,2,2,NA,0,3
1.00E-04,32,42,Dutch Angle Env,4500,2,2,NA,0,3
1.00E-04,32,42,Dutch Angle Env,5000,2,0,NA,0,3
1.00E-04,32,61728416,Baseline,500,0,2,1,1,3
1.00E-04,32,61728416,Baseline,1000,2,2,1,1,3
1.00E-04,32,61728416,Baseline,1500,2,2,1,1,3
1.00E-04,32,61728416,Baseline,2000,2,2,3,1,3
1.00E-04,32,61728416,Baseline,2500,2,2,2,1,3
1.00E-04,32,61728416,Baseline,3000,2,2,3,1,3
1.00E-04,32,61728416,Baseline,3500,2,1,2,1,3
1.00E-04,32,61728416,Baseline,4000,1,2,1,1,3
1.00E-04,32,61728416,Baseline,4500,2,2,3,1,3
1.00E-04,32,61728416,Baseline,5000,2,2,3,1,3
1.00E-04,32,61728416,Winter Coat,500,1,2,0,1,3
1.00E-04,32,61728416,Winter Coat,1000,2,1,1,1,3
1.00E-04,32,61728416,Winter Coat,1500,2,2,2,1,3
1.00E-04,32,61728416,Winter Coat,2000,2,2,2,1,3
1.00E-04,32,61728416,Winter Coat,2500,2,2,3,1,3
1.00E-04,32,61728416,Winter Coat,3000,2,2,2,1,3
1.00E-04,32,61728416,Winter Coat,3500,2,2,3,1,3
1.00E-04,32,61728416,Winter Coat,4000,2,2,2,1,3
1.00E-04,32,61728416,Winter Coat,4500,2,2,3,1,3
1.00E-04,32,61728416,Winter Coat,5000,2,2,3,1,3
1.00E-04,32,61728416,Watercolor,500,0,2,0,1,3
1.00E-04,32,61728416,Watercolor,1000,2,2,1,1,3
1.00E-04,32,61728416,Watercolor,1500,2,2,1,1,3
1.00E-04,32,61728416,Watercolor,2000,2,2,3,1,3
1.00E-04,32,61728416,Watercolor,2500,2,2,1,0,3
1.00E-04,32,61728416,Watercolor,3000,2,2,3,1,3
1.00E-04,32,61728416,Watercolor,3500,2,2,3,1,3
1.00E-04,32,61728416,Watercolor,4000,1,2,1,1,3
1.00E-04,32,61728416,Watercolor,4500,1,2,3,1,3
1.00E-04,32,61728416,Watercolor,5000,2,2,3,1,3
1.00E-04,32,61728416,Purple Hair,500,1,2,0,1,3
1.00E-04,32,61728416,Purple Hair,1000,1,1,3,1,3
1.00E-04,32,61728416,Purple Hair,1500,2,2,2,1,3
1.00E-04,32,61728416,Purple Hair,2000,2,2,3,1,3
1.00E-04,32,61728416,Purple Hair,2500,2,2,1,1,3
1.00E-04,32,61728416,Purple Hair,3000,2,2,3,0,3
1.00E-04,32,61728416,Purple Hair,3500,2,2,3,1,3
1.00E-04,32,61728416,Purple Hair,4000,2,2,3,1,3
1.00E-04,32,61728416,Purple Hair,4500,2,2,3,1,3
1.00E-04,32,61728416,Purple Hair,5000,2,1,2,1,3
1.00E-04,32,61728416,Abstract,500,1,2,0,0,3
1.00E-04,32,61728416,Abstract,1000,2,2,0,0,3
1.00E-04,32,61728416,Abstract,1500,2,2,1,0,3
1.00E-04,32,61728416,Abstract,2000,2,1,2,0,3
1.00E-04,32,61728416,Abstract,2500,2,2,2,1,2
1.00E-04,32,61728416,Abstract,3000,2,2,3,1,3
1.00E-04,32,61728416,Abstract,3500,1,1,1,0,3
1.00E-04,32,61728416,Abstract,4000,2,2,1,1,3
1.00E-04,32,61728416,Abstract,4500,2,2,3,0,3
1.00E-04,32,61728416,Abstract,5000,2,2,2,0,3
1.00E-04,32,61728416,Mecha,500,2,2,NA,0,3
1.00E-04,32,61728416,Mecha,1000,2,2,NA,1,3
1.00E-04,32,61728416,Mecha,1500,2,2,NA,1,3
1.00E-04,32,61728416,Mecha,2000,2,2,NA,1,3
1.00E-04,32,61728416,Mecha,2500,2,2,NA,0,3
1.00E-04,32,61728416,Mecha,3000,2,2,NA,0,3
1.00E-04,32,61728416,Mecha,3500,2,2,NA,1,3
1.00E-04,32,61728416,Mecha,4000,2,2,NA,0,3
1.00E-04,32,61728416,Mecha,4500,2,2,NA,1,3
1.00E-04,32,61728416,Mecha,5000,2,2,NA,1,3
1.00E-04,32,61728416,Dutch Angle Env,500,0,0,NA,0,3
1.00E-04,32,61728416,Dutch Angle Env,1000,2,1,NA,1,2
1.00E-04,32,61728416,Dutch Angle Env,1500,1,0,NA,0,3
1.00E-04,32,61728416,Dutch Angle Env,2000,2,2,NA,1,3
1.00E-04,32,61728416,Dutch Angle Env,2500,2,2,NA,1,3
1.00E-04,32,61728416,Dutch Angle Env,3000,2,2,NA,1,3
1.00E-04,32,61728416,Dutch Angle Env,3500,2,2,NA,1,3
1.00E-04,32,61728416,Dutch Angle Env,4000,2,0,NA,0,3
1.00E-04,32,61728416,Dutch Angle Env,4500,2,2,NA,0,3
1.00E-04,32,61728416,Dutch Angle Env,5000,2,2,NA,0,3
1.00E-04,32,123456789,Baseline,500,2,2,0,1,3
1.00E-04,32,123456789,Baseline,1000,2,2,1,1,3
1.00E-04,32,123456789,Baseline,1500,2,2,0,1,3
1.00E-04,32,123456789,Baseline,2000,2,2,2,1,3
1.00E-04,32,123456789,Baseline,2500,2,2,2,1,3
1.00E-04,32,123456789,Baseline,3000,2,2,3,1,3
1.00E-04,32,123456789,Baseline,3500,2,1,3,1,3
1.00E-04,32,123456789,Baseline,4000,0,0,1,0,3
1.00E-04,32,123456789,Baseline,4500,2,2,3,1,3
1.00E-04,32,123456789,Baseline,5000,2,1,3,1,3
1.00E-04,32,123456789,Winter Coat,500,1,2,0,1,3
1.00E-04,32,123456789,Winter Coat,1000,1,2,2,1,3
1.00E-04,32,123456789,Winter Coat,1500,2,2,0,1,3
1.00E-04,32,123456789,Winter Coat,2000,2,2,1,1,3
1.00E-04,32,123456789,Winter Coat,2500,1,2,3,1,3
1.00E-04,32,123456789,Winter Coat,3000,2,2,3,1,3
1.00E-04,32,123456789,Winter Coat,3500,2,2,3,1,2
1.00E-04,32,123456789,Winter Coat,4000,2,2,1,1,3
1.00E-04,32,123456789,Winter Coat,4500,2,2,3,1,3
1.00E-04,32,123456789,Winter Coat,5000,2,2,3,1,3
1.00E-04,32,123456789,Watercolor,500,2,2,0,1,3
1.00E-04,32,123456789,Watercolor,1000,2,2,0,1,3
1.00E-04,32,123456789,Watercolor,1500,2,2,0,1,3
1.00E-04,32,123456789,Watercolor,2000,2,2,3,1,1
1.00E-04,32,123456789,Watercolor,2500,1,2,2,1,3
1.00E-04,32,123456789,Watercolor,3000,2,2,3,1,3
1.00E-04,32,123456789,Watercolor,3500,0,2,2,1,3
1.00E-04,32,123456789,Watercolor,4000,2,2,3,1,3
1.00E-04,32,123456789,Watercolor,4500,2,2,3,1,3
1.00E-04,32,123456789,Watercolor,5000,2,2,3,1,3
1.00E-04,32,123456789,Purple Hair,500,2,2,0,1,2
1.00E-04,32,123456789,Purple Hair,1000,2,2,0,1,3
1.00E-04,32,123456789,Purple Hair,1500,2,2,1,1,2
1.00E-04,32,123456789,Purple Hair,2000,2,2,2,1,2
1.00E-04,32,123456789,Purple Hair,2500,2,2,2,1,2
1.00E-04,32,123456789,Purple Hair,3000,2,2,3,1,2
1.00E-04,32,123456789,Purple Hair,3500,2,2,3,0,3
1.00E-04,32,123456789,Purple Hair,4000,2,1,0,1,3
1.00E-04,32,123456789,Purple Hair,4500,2,2,3,1,3
1.00E-04,32,123456789,Purple Hair,5000,2,2,3,1,3
1.00E-04,32,123456789,Abstract,500,1,2,0,0,3
1.00E-04,32,123456789,Abstract,1000,2,2,1,0,3
1.00E-04,32,123456789,Abstract,1500,2,2,1,0,3
1.00E-04,32,123456789,Abstract,2000,2,2,2,0,3
1.00E-04,32,123456789,Abstract,2500,2,2,0,0,3
1.00E-04,32,123456789,Abstract,3000,2,2,2,0,3
1.00E-04,32,123456789,Abstract,3500,0,1,3,0,3
1.00E-04,32,123456789,Abstract,4000,2,0,0,1,3
1.00E-04,32,123456789,Abstract,4500,2,2,2,0,3
1.00E-04,32,123456789,Abstract,5000,2,1,2,0,3
1.00E-04,32,123456789,Mecha,500,2,2,NA,1,3
1.00E-04,32,123456789,Mecha,1000,2,2,NA,1,3
1.00E-04,32,123456789,Mecha,1500,2,1,NA,1,3
1.00E-04,32,123456789,Mecha,2000,2,2,NA,1,2
1.00E-04,32,123456789,Mecha,2500,2,1,NA,0,3
1.00E-04,32,123456789,Mecha,3000,2,2,NA,0,3
1.00E-04,32,123456789,Mecha,3500,2,2,NA,1,3
1.00E-04,32,123456789,Mecha,4000,2,0,NA,0,3
1.00E-04,32,123456789,Mecha,4500,2,2,NA,0,3
1.00E-04,32,123456789,Mecha,5000,2,2,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,500,2,2,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,1000,2,1,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,1500,2,0,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,2000,2,2,NA,0,2
1.00E-04,32,123456789,Dutch Angle Env,2500,2,2,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,3000,2,2,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,3500,2,2,NA,1,3
1.00E-04,32,123456789,Dutch Angle Env,4000,2,0,NA,0,3
1.00E-04,32,123456789,Dutch Angle Env,4500,2,2,NA,1,3
1.00E-04,32,123456789,Dutch Angle Env,5000,2,2,NA,0,3
2.00E-04,16,42,Baseline,500,2,1,0,0,3
2.00E-04,16,42,Baseline,1000,2,2,3,1,3
2.00E-04,16,42,Baseline,1500,2,2,2,1,3
2.00E-04,16,42,Baseline,2000,2,1,2,1,3
2.00E-04,16,42,Baseline,2500,2,2,2,1,3
2.00E-04,16,42,Baseline,3000,2,2,2,1,3
2.00E-04,16,42,Baseline,3500,2,2,1,1,3
2.00E-04,16,42,Baseline,4000,2,1,1,1,3
2.00E-04,16,42,Baseline,4500,2,2,3,0,3
2.00E-04,16,42,Baseline,5000,2,2,3,1,3
2.00E-04,16,42,Winter Coat,500,2,2,0,1,3
2.00E-04,16,42,Winter Coat,1000,2,2,1,1,3
2.00E-04,16,42,Winter Coat,1500,2,2,2,1,3
2.00E-04,16,42,Winter Coat,2000,2,2,3,1,3
2.00E-04,16,42,Winter Coat,2500,2,2,1,1,3
2.00E-04,16,42,Winter Coat,3000,2,2,3,1,3
2.00E-04,16,42,Winter Coat,3500,2,2,3,1,3
2.00E-04,16,42,Winter Coat,4000,2,2,1,1,3
2.00E-04,16,42,Winter Coat,4500,1,1,3,1,3
2.00E-04,16,42,Winter Coat,5000,2,2,3,1,3
2.00E-04,16,42,Watercolor,500,2,2,0,1,3
2.00E-04,16,42,Watercolor,1000,1,1,0,1,3
2.00E-04,16,42,Watercolor,1500,2,1,1,1,3
2.00E-04,16,42,Watercolor,2000,2,2,2,1,3
2.00E-04,16,42,Watercolor,2500,2,2,3,0,3
2.00E-04,16,42,Watercolor,3000,2,2,2,0,3
2.00E-04,16,42,Watercolor,3500,2,2,1,1,3
2.00E-04,16,42,Watercolor,4000,2,2,1,1,3
2.00E-04,16,42,Watercolor,4500,2,2,3,1,3
2.00E-04,16,42,Watercolor,5000,2,1,3,1,3
2.00E-04,16,42,Purple Hair,500,2,2,0,1,2
2.00E-04,16,42,Purple Hair,1000,2,2,1,1,3
2.00E-04,16,42,Purple Hair,1500,2,2,3,0,3
2.00E-04,16,42,Purple Hair,2000,2,2,2,1,3
2.00E-04,16,42,Purple Hair,2500,2,2,3,1,3
2.00E-04,16,42,Purple Hair,3000,2,2,2,1,3
2.00E-04,16,42,Purple Hair,3500,2,2,2,1,3
2.00E-04,16,42,Purple Hair,4000,2,2,1,1,3
2.00E-04,16,42,Purple Hair,4500,2,2,3,1,3
2.00E-04,16,42,Purple Hair,5000,2,2,3,1,3
2.00E-04,16,42,Abstract,500,2,2,0,1,3
2.00E-04,16,42,Abstract,1000,2,2,0,1,3
2.00E-04,16,42,Abstract,1500,2,2,2,1,3
2.00E-04,16,42,Abstract,2000,2,2,0,0,3
2.00E-04,16,42,Abstract,2500,2,2,2,0,3
2.00E-04,16,42,Abstract,3000,2,2,2,0,3
2.00E-04,16,42,Abstract,3500,2,2,1,0,3
2.00E-04,16,42,Abstract,4000,2,1,1,1,3
2.00E-04,16,42,Abstract,4500,2,1,3,0,3
2.00E-04,16,42,Abstract,5000,2,2,3,0,3
2.00E-04,16,42,Mecha,500,2,2,NA,1,3
2.00E-04,16,42,Mecha,1000,2,2,NA,0,2
2.00E-04,16,42,Mecha,1500,2,2,NA,0,3
2.00E-04,16,42,Mecha,2000,2,2,NA,0,3
2.00E-04,16,42,Mecha,2500,2,2,NA,0,3
2.00E-04,16,42,Mecha,3000,2,2,NA,0,3
2.00E-04,16,42,Mecha,3500,2,2,NA,1,3
2.00E-04,16,42,Mecha,4000,2,2,NA,0,3
2.00E-04,16,42,Mecha,4500,2,2,NA,0,3
2.00E-04,16,42,Mecha,5000,2,0,NA,0,3
2.00E-04,16,42,Dutch Angle Env,500,2,1,NA,1,1
2.00E-04,16,42,Dutch Angle Env,1000,2,1,NA,1,1
2.00E-04,16,42,Dutch Angle Env,1500,2,2,NA,1,3
2.00E-04,16,42,Dutch Angle Env,2000,2,2,NA,1,3
2.00E-04,16,42,Dutch Angle Env,2500,2,2,NA,0,3
2.00E-04,16,42,Dutch Angle Env,3000,2,2,NA,0,3
2.00E-04,16,42,Dutch Angle Env,3500,2,0,NA,1,3
2.00E-04,16,42,Dutch Angle Env,4000,2,0,NA,0,3
2.00E-04,16,42,Dutch Angle Env,4500,2,2,NA,0,3
2.00E-04,16,42,Dutch Angle Env,5000,2,0,NA,0,3
2.00E-04,16,61728416,Baseline,500,2,2,0,1,3
2.00E-04,16,61728416,Baseline,1000,2,2,1,1,3
2.00E-04,16,61728416,Baseline,1500,2,2,0,1,3
2.00E-04,16,61728416,Baseline,2000,2,2,1,1,3
2.00E-04,16,61728416,Baseline,2500,2,2,0,1,3
2.00E-04,16,61728416,Baseline,3000,2,2,1,1,3
2.00E-04,16,61728416,Baseline,3500,2,1,2,1,3
2.00E-04,16,61728416,Baseline,4000,2,1,0,1,3
2.00E-04,16,61728416,Baseline,4500,2,2,3,1,3
2.00E-04,16,61728416,Baseline,5000,2,2,2,1,3
2.00E-04,16,61728416,Winter Coat,500,2,2,0,1,3
2.00E-04,16,61728416,Winter Coat,1000,2,2,1,1,3
2.00E-04,16,61728416,Winter Coat,1500,2,1,1,1,3
2.00E-04,16,61728416,Winter Coat,2000,2,2,0,1,3
2.00E-04,16,61728416,Winter Coat,2500,2,1,2,1,3
2.00E-04,16,61728416,Winter Coat,3000,2,2,1,1,3
2.00E-04,16,61728416,Winter Coat,3500,2,1,1,1,3
2.00E-04,16,61728416,Winter Coat,4000,2,2,2,1,3
2.00E-04,16,61728416,Winter Coat,4500,2,1,3,1,3
2.00E-04,16,61728416,Winter Coat,5000,2,2,2,1,3
2.00E-04,16,61728416,Watercolor,500,2,2,1,1,3
2.00E-04,16,61728416,Watercolor,1000,2,2,1,1,3
2.00E-04,16,61728416,Watercolor,1500,2,1,1,1,3
2.00E-04,16,61728416,Watercolor,2000,2,2,1,1,3
2.00E-04,16,61728416,Watercolor,2500,2,2,1,1,3
2.00E-04,16,61728416,Watercolor,3000,2,2,1,1,3
2.00E-04,16,61728416,Watercolor,3500,2,2,3,1,3
2.00E-04,16,61728416,Watercolor,4000,2,2,1,1,3
2.00E-04,16,61728416,Watercolor,4500,2,1,1,1,3
2.00E-04,16,61728416,Watercolor,5000,2,2,3,1,3
2.00E-04,16,61728416,Purple Hair,500,2,2,0,1,3
2.00E-04,16,61728416,Purple Hair,1000,2,2,1,1,3
2.00E-04,16,61728416,Purple Hair,1500,2,2,3,1,3
2.00E-04,16,61728416,Purple Hair,2000,2,2,3,1,3
2.00E-04,16,61728416,Purple Hair,2500,2,2,1,1,3
2.00E-04,16,61728416,Purple Hair,3000,2,2,2,1,3
2.00E-04,16,61728416,Purple Hair,3500,2,1,1,1,3
2.00E-04,16,61728416,Purple Hair,4000,1,2,2,1,3
2.00E-04,16,61728416,Purple Hair,4500,2,2,3,1,3
2.00E-04,16,61728416,Purple Hair,5000,2,2,2,1,3
2.00E-04,16,61728416,Abstract,500,2,2,0,0,3
2.00E-04,16,61728416,Abstract,1000,2,2,1,0,3
2.00E-04,16,61728416,Abstract,1500,2,2,1,1,2
2.00E-04,16,61728416,Abstract,2000,2,2,3,0,3
2.00E-04,16,61728416,Abstract,2500,2,2,1,0,3
2.00E-04,16,61728416,Abstract,3000,2,1,2,0,3
2.00E-04,16,61728416,Abstract,3500,2,1,2,0,3
2.00E-04,16,61728416,Abstract,4000,2,2,1,1,3
2.00E-04,16,61728416,Abstract,4500,2,2,3,0,3
2.00E-04,16,61728416,Abstract,5000,2,2,2,0,3
2.00E-04,16,61728416,Mecha,500,2,1,NA,1,3
2.00E-04,16,61728416,Mecha,1000,2,2,NA,0,3
2.00E-04,16,61728416,Mecha,1500,2,2,NA,0,3
2.00E-04,16,61728416,Mecha,2000,2,2,NA,0,3
2.00E-04,16,61728416,Mecha,2500,2,1,NA,1,3
2.00E-04,16,61728416,Mecha,3000,2,2,NA,1,3
2.00E-04,16,61728416,Mecha,3500,2,2,NA,1,3
2.00E-04,16,61728416,Mecha,4000,2,2,NA,0,3
2.00E-04,16,61728416,Mecha,4500,2,2,NA,1,3
2.00E-04,16,61728416,Mecha,5000,2,2,NA,1,3
2.00E-04,16,61728416,Dutch Angle Env,500,2,2,NA,1,2
2.00E-04,16,61728416,Dutch Angle Env,1000,2,1,NA,1,2
2.00E-04,16,61728416,Dutch Angle Env,1500,2,2,NA,1,2
2.00E-04,16,61728416,Dutch Angle Env,2000,2,1,NA,0,3
2.00E-04,16,61728416,Dutch Angle Env,2500,2,0,NA,0,3
2.00E-04,16,61728416,Dutch Angle Env,3000,2,2,NA,0,3
2.00E-04,16,61728416,Dutch Angle Env,3500,2,2,NA,0,3
2.00E-04,16,61728416,Dutch Angle Env,4000,2,2,NA,0,3
2.00E-04,16,61728416,Dutch Angle Env,4500,2,2,NA,1,3
2.00E-04,16,61728416,Dutch Angle Env,5000,2,2,NA,0,3
2.00E-04,16,123456789,Baseline,500,2,2,0,1,3
2.00E-04,16,123456789,Baseline,1000,2,2,1,0,3
2.00E-04,16,123456789,Baseline,1500,2,2,1,1,3
2.00E-04,16,123456789,Baseline,2000,2,2,3,1,3
2.00E-04,16,123456789,Baseline,2500,2,2,1,1,3
2.00E-04,16,123456789,Baseline,3000,2,2,3,0,3
2.00E-04,16,123456789,Baseline,3500,2,2,0,1,3
2.00E-04,16,123456789,Baseline,4000,1,2,2,1,3
2.00E-04,16,123456789,Baseline,4500,2,2,3,1,3
2.00E-04,16,123456789,Baseline,5000,2,2,3,1,3
2.00E-04,16,123456789,Winter Coat,500,2,2,0,1,2
2.00E-04,16,123456789,Winter Coat,1000,2,2,0,1,3
2.00E-04,16,123456789,Winter Coat,1500,2,2,2,1,3
2.00E-04,16,123456789,Winter Coat,2000,2,2,3,1,3
2.00E-04,16,123456789,Winter Coat,2500,2,1,3,1,3
2.00E-04,16,123456789,Winter Coat,3000,2,2,3,1,3
2.00E-04,16,123456789,Winter Coat,3500,2,2,3,1,3
2.00E-04,16,123456789,Winter Coat,4000,2,1,2,1,3
2.00E-04,16,123456789,Winter Coat,4500,1,2,3,1,3
2.00E-04,16,123456789,Winter Coat,5000,2,2,2,1,3
2.00E-04,16,123456789,Watercolor,500,2,2,0,1,3
2.00E-04,16,123456789,Watercolor,1000,2,1,0,1,3
2.00E-04,16,123456789,Watercolor,1500,2,2,1,1,3
2.00E-04,16,123456789,Watercolor,2000,2,2,3,1,3
2.00E-04,16,123456789,Watercolor,2500,2,2,3,1,3
2.00E-04,16,123456789,Watercolor,3000,2,2,3,0,3
2.00E-04,16,123456789,Watercolor,3500,2,1,3,1,3
2.00E-04,16,123456789,Watercolor,4000,2,2,2,1,3
2.00E-04,16,123456789,Watercolor,4500,2,2,3,1,3
2.00E-04,16,123456789,Watercolor,5000,2,2,1,1,3
2.00E-04,16,123456789,Purple Hair,500,2,2,0,1,2
2.00E-04,16,123456789,Purple Hair,1000,2,2,1,1,2
2.00E-04,16,123456789,Purple Hair,1500,2,2,2,1,2
2.00E-04,16,123456789,Purple Hair,2000,2,2,1,1,3
2.00E-04,16,123456789,Purple Hair,2500,2,2,3,1,2
2.00E-04,16,123456789,Purple Hair,3000,2,2,3,1,2
2.00E-04,16,123456789,Purple Hair,3500,2,2,3,1,3
2.00E-04,16,123456789,Purple Hair,4000,2,2,1,1,3
2.00E-04,16,123456789,Purple Hair,4500,2,2,3,1,3
2.00E-04,16,123456789,Purple Hair,5000,2,2,3,1,2
2.00E-04,16,123456789,Abstract,500,2,2,0,0,3
2.00E-04,16,123456789,Abstract,1000,2,2,1,0,3
2.00E-04,16,123456789,Abstract,1500,2,2,1,1,2
2.00E-04,16,123456789,Abstract,2000,2,2,2,0,3
2.00E-04,16,123456789,Abstract,2500,2,1,2,0,3
2.00E-04,16,123456789,Abstract,3000,2,2,3,0,3
2.00E-04,16,123456789,Abstract,3500,2,2,2,0,3
2.00E-04,16,123456789,Abstract,4000,2,2,3,1,3
2.00E-04,16,123456789,Abstract,4500,2,1,2,0,3
2.00E-04,16,123456789,Abstract,5000,2,2,3,0,3
2.00E-04,16,123456789,Mecha,500,2,2,NA,1,3
2.00E-04,16,123456789,Mecha,1000,2,2,NA,0,2
2.00E-04,16,123456789,Mecha,1500,2,2,NA,1,3
2.00E-04,16,123456789,Mecha,2000,2,2,NA,0,3
2.00E-04,16,123456789,Mecha,2500,2,2,NA,0,2
2.00E-04,16,123456789,Mecha,3000,2,2,NA,0,3
2.00E-04,16,123456789,Mecha,3500,2,2,NA,1,3
2.00E-04,16,123456789,Mecha,4000,2,2,NA,0,3
2.00E-04,16,123456789,Mecha,4500,1,0,NA,0,3
2.00E-04,16,123456789,Mecha,5000,2,2,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,500,2,1,NA,1,2
2.00E-04,16,123456789,Dutch Angle Env,1000,2,2,NA,1,2
2.00E-04,16,123456789,Dutch Angle Env,1500,2,1,NA,0,2
2.00E-04,16,123456789,Dutch Angle Env,2000,2,2,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,2500,2,1,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,3000,2,2,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,3500,2,2,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,4000,2,1,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,4500,2,2,NA,0,3
2.00E-04,16,123456789,Dutch Angle Env,5000,2,2,NA,0,3
